company,URL,PIB,Full name,Address
NOVOGRADNJA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/novogradnja,02046407,NOVOGRADNJA A.D. Budva," TRG SUNCA BR.1, BUDVA, Crna Gora"
OBNOVA-PREMIS,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/obnova-premis,02051354,OBNOVA  PREMIS TD HERCEG NOVI," HERCEG NOVI, Crna Gora"
ODRŽAVANJE ŽELJEZNIČKIH VOZNIH SREDSTAVA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/odrzavanje-zeljeznickih-voznih-sredstava,02816296,ODRŽAVANJE ŽELJEZNIČKIH VOZNIH SREDSTAVA A.D.," TRG GOLOOTOČKIH ŽRTAVA 13, PODGORICA, Crna Gora"
NOVI DUVANSKI KOMBINAT,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/novi-duvanski-kombinat,02860864,"""Novi duvanski kombinat""A.D"," KRUŠEVAC BB, PODGORICA, Crna Gora"
FINVEO,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/e-f-g-h/finveo,03321169,"INVESTICIONO DRUŠTVO ""FINVEO"" AD PODGORICA","UL. CETINJSKA BR. 11, PODGORICA"
NOVI PRVOBORAC,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/novi-prvoborac,02314223,"""NOVI PRVOBORAC"" A.D."," ZEMUNSKA 143 (Meljine) 143, HERCEG NOVI, Crna Gora"
PAPIR,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/papir,02017083,PAPIR D.D," MOŠE PIJADE 74 PODGORICA, PODGORICA, Crna Gora"
PAKO,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/pako,02217236,GRAFIČKO PROIZVODNO PREDUZEĆE PAKO A.D ANDRIJEVICA," BRANKA DELETIĆA, ANDRIJEVICA, Crna Gora"
OTRANTKOMERC,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/otrantkomerc,02006731,OTRANTKOMERC A.D," Trg Republike 13/I, Podgorica, Crna Gora"
LB RE DEVELOPMENT PARTNERS AD TIVAT,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/i-j-k-l/lb-re-development-partners-ad-tivat,03228789,LB RE DEVELOPMENT PARTNERS AD TIVAT,"Radovići bb, Tivat"
PLAVSKO JEZERO,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/plavsko-jezero,02065088,PLAVSKO JEZERO U STEČAJU PLAV," PLAV, Plav, Crna Gora"
PKB HERCEG NOVI,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/pkb-herceg-novi,02016389,TP PKB HERCEG NOVI A.D ZELENIKA," Zelenika bb, HERCEG NOVI, Crna Gora"
LB HOTEL DEVELOPMENT PARTNERS,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/i-j-k-l/lb-hotel-development-partners,03186105,"""LB HOTEL DEVELOPMENT PARTNERS"" AD TIVAT","Radovići bb, Tivat"
PLODOVI CRNE GORE,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/plodovi-crne-gore,02411016,PLODOVI CRNE GORE," SVETOZARA MARKOVIĆA 30, PODGORICA, Crna Gora"
PODGORICAPROMET,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/podgoricapromet,02189615,"""PODGORICAPROMET"" A.D. Podgorica"," Vasa Raičkovića 18 S, PODGORICA, Crna Gora"
PODGORICAEKSPRES,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/podgoricaekspres,02114666,PODGORICAEKSPRES," ZABJELO BR.10, PODGORICA, Crna Gora"
PODGORIČKI BROKER DILER,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/podgoricki-broker-diler,02451506,PODGORIČKI BROKER-DILER," Rimski trg 8/I, PODGORICA, Crna Gora"
POLIEX,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/poliex,02035057,"""POLIEX"" HEMIJSKA INDUSTRIJA A.D BERANE"," POLICA bb, BERANE, Crna Gora"
POLIPAK,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/polipak,02026244,POLIPAK BIJELO POLJE," INDUSTRIJSKA BB, BIJELO POLJE, Crna Gora"
POLJOPRIVREDA I ŠUMARSTVO,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/poljoprivreda-i-sumarstvo,02280108,POLJOPRIVREDA I ŠUMARSTVO A.D  BERANE," D. VUJOŠVIĆA 14, BERANE, Crna Gora"
PORT OF ADRIA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/port-of-adria,02766698,"AD ""PORT OF ADRIA"" BAR"," OBALA 13 JULA BB, BAR, Crna Gora"
POSLOVNO LOGISTIČKI CENTAR MORAČA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/poslovno-logisticki-centar-moraca,02026406,Poslovno Logistički Centar Morača a.d.," 8 MART 55, PODGORICA, Crna Gora"
POŠTA CRNE GORE,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/posta-crne-gore,02867940,POŠTA CRNE GORE," Slobode 1, PODGORICA, Crna Gora"
PRIMA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/prima,02871831,"Društvo za upravljanje investicionim fondovima ""PRIMA"""," Bulevar Revolucije 50/5, PODGORICA, Crna Gora"
GRAĐEVINSKI NADZOR I LABORATORIJSKA ISPITIVANJA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/e-f-g-h/gradevinski-nadzor-i-laboratorijska-ispitivanja,02013746,GRAĐEVINSKI NADZOR I LABORATORIJSKA ISPITIVANJA," Ul. Zetskih Vladara bb, Podgorica"
PREKOOKEANSKA PLOVIDBA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/prekookeanska-plovidba,02002817,PREKOOKEANSKA  PLOVIDBA  BAR," MARŠALA TITA BR. 46, BAR, Crna Gora"
PRVA BANKA CRNE GORE,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/prva-banka-crne-gore-2-2,02096099,PRVA BANKA CRNE GORE AD. PODGORICA," Svetog Petra Cetinjskog 141, PODGORICA, Crna Gora"
PRIMORJE,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/primorje,02008637,"""PRIMORJE"" HOTELS & RESTAURANTS AD"," 21 NOVEMBAR B.B., TIVAT, Crna Gora"
